iter	Passed	Remaining
466	1628	115
467	1631	111
468	1634	108
469	1637	104
470	1640	101
471	1643	97
472	1646	94
473	1650	90
474	1653	87
475	1656	83
476	1659	80
477	1663	76
478	1666	73
479	1669	69
480	1672	66
481	1676	62
482	1679	59
483	1682	55
484	1685	52
485	1688	48
486	1691	45
487	1694	41
488	1697	38
489	1700	34
490	1703	31
491	1706	27
492	1710	24
493	1714	20
494	1717	17
495	1721	13
496	1724	10
497	1728	6
498	1731	3
499	1734	0
