iter	Logloss
0	0.647741951
1	0.614879335
2	0.5784953276
3	0.5476096045
4	0.5190487009
5	0.4965176202
6	0.472244477
7	0.4520749833
8	0.4346440609
9	0.4183235413
10	0.4043666716
11	0.3915256917
12	0.3800167087
13	0.3708348012
14	0.3571222529
15	0.3526642278
16	0.341410421
17	0.3341037565
18	0.3233160124
19	0.3143139759
20	0.3078185843
21	0.2996018891
22	0.2949950271
23	0.2886546342
24	0.2833727059
25	0.2759653394
26	0.2705201856
27	0.2666193403
28	0.2617001831
29	0.2592433047
30	0.2536791477
31	0.2511089889
32	0.2455237738
33	0.2433021172
34	0.2417828668
35	0.236422577
36	0.2324925315
37	0.2305958095
38	0.2276591464
39	0.2247302827
40	0.2215301845
41	0.2188794971
42	0.2156401213
43	0.2130558777
44	0.2095753157
45	0.2069105847
46	0.2025619266
47	0.2003195454
48	0.1978304995
49	0.1930142845
50	0.1907329326
51	0.1879204233
52	0.1855986284
53	0.1836155776
54	0.1797035865
55	0.1774852622
56	0.1755137655
57	0.1741010141
58	0.1718219645
59	0.1692906723
60	0.1679322095
61	0.1669132294
62	0.163993414
63	0.1620968043
64	0.1605047618
65	0.158840403
66	0.1568312273
67	0.1547306913
68	0.1529668809
69	0.1519873179
70	0.1501984012
71	0.1489311637
72	0.147439918
73	0.1468316535
74	0.1446394947
75	0.1426881857
76	0.1408992906
77	0.1391427748
78	0.138043074
79	0.1360147984
80	0.135191183
81	0.1342762346
82	0.1332875879
83	0.1322552926
84	0.1306697381
85	0.1287667825
86	0.1269302596
87	0.1253760809
88	0.124610365
89	0.1233913985
90	0.1227331319
91	0.120937841
92	0.1188074539
93	0.1174025639
94	0.1162661064
95	0.1158148039
96	0.1143585457
97	0.1126081594
98	0.1111210188
99	0.1101632676
100	0.1091831655
101	0.1079655545
102	0.1065618179
103	0.104915907
104	0.1037391395
105	0.1028460848
106	0.1023348138
107	0.1011895885
108	0.09998771792
109	0.09893197461
110	0.09775779503
111	0.09706309371
112	0.09589066237
113	0.09487404099
114	0.0943682812
115	0.09291358835
116	0.09160535571
117	0.09049109217
118	0.08969181326
119	0.08876674766
120	0.08785241671
121	0.08706229374
122	0.08674801245
123	0.08564443137
124	0.08475806483
125	0.08350060901
126	0.08319840142
127	0.08216108602
128	0.08131811849
129	0.08049872907
130	0.07971269697
131	0.0781913736
132	0.07727913041
133	0.07630228008
134	0.07609663304
135	0.07508265883
136	0.0740648218
137	0.07340723498
138	0.07239944395
139	0.07200992627
140	0.07150242559
141	0.07027826755
142	0.06997222475
143	0.06892642078
144	0.06803718383
145	0.06728834123
146	0.06595375713
147	0.06543829793
148	0.06442033548
149	0.06403397906
150	0.06298614739
151	0.06224334354
152	0.06159936026
153	0.06109237063
154	0.06073853997
155	0.06021486864
156	0.05997774984
157	0.05931898815
158	0.05870896724
159	0.05821077299
160	0.05787600848
161	0.05742088692
162	0.05683145386
163	0.05634617273
164	0.05551799578
165	0.05495561145
166	0.0546155627
167	0.05416295176
168	0.05364242522
169	0.05318027374
170	0.05303210634
171	0.05248173644
172	0.05197424412
173	0.0516938849
174	0.05130782999
175	0.05089642416
176	0.05044815695
177	0.0498143451
178	0.04951861586
179	0.04913584079
180	0.04882792813
181	0.04836268202
182	0.0480455207
183	0.04754819601
184	0.04717866419
185	0.04663583728
186	0.04606325948
187	0.04544718866
188	0.04487721015
189	0.04440906983
190	0.04402874583
191	0.04361858125
192	0.0432152135
193	0.04259044762
194	0.04213517607
195	0.04183805078
196	0.04153102541
197	0.0412213777
198	0.04091894285
199	0.04073469013
200	0.04032490205
201	0.03987090393
202	0.03947707444
203	0.03917022567
204	0.03886767782
205	0.03856742065
206	0.03825802099
207	0.03793867159
208	0.03759674793
209	0.03724862006
210	0.03683039334
211	0.03633410822
212	0.036100852
213	0.03579751743
214	0.03521685114
215	0.03497949189
216	0.03472545119
217	0.03458571181
218	0.03424353453
219	0.03392644592
220	0.03364188283
221	0.0333977602
222	0.0332916201
223	0.03305479571
224	0.03283624923
225	0.03263118974
226	0.03222842576
227	0.0321434925
228	0.03174420422
229	0.03133281182
230	0.03098683428
231	0.03087809666
232	0.03067345624
233	0.03043418736
234	0.03030520899
235	0.0301444191
236	0.03004020788
237	0.02976022643
238	0.02946539589
239	0.0292665216
240	0.02918796813
241	0.02887509784
242	0.02870502431
243	0.02843639321
244	0.02817348998
245	0.02800492931
246	0.02782476214
247	0.02751224986
248	0.02730164644
249	0.02700807159
250	0.02675071558
251	0.02656825088
252	0.02625121143
253	0.02588265837
254	0.02570303999
255	0.02551865679
256	0.02536099497
257	0.02519474425
258	0.0250569639
259	0.02483084807
260	0.02458424219
261	0.02442662115
262	0.0241977079
263	0.02387585397
264	0.02366239637
265	0.02346987197
266	0.02330839469
267	0.02306693748
268	0.02287725333
269	0.02274484766
270	0.02261169608
271	0.02240309528
272	0.02217082896
273	0.02208066975
274	0.0219636911
275	0.02183070548
276	0.02165215656
277	0.02149922688
278	0.02136013358
279	0.0212357214
280	0.02104743913
281	0.02091900271
282	0.02075818925
283	0.02071105534
284	0.02064938424
